Country;Year;Region ;PolTerrorUSDept;RangoUSDept;  OilRentsDep  ; OilPrice ;  GDPpc2010  ;  RangoGDPpc2010  ;Destination;  ExpDepDest  ;  RegDestination  ;RegimenPetroState;Reserves;  Milex  ;ForeignInvest;PolAffinity;civtot;PredEthnic;WOP;CPI 
Azerbaijan;2007;Europa y Asia Central ;3;Medium;36.61;71.12;4851.18;  Medium  ;UE;0.68;  Democracy  ;Autocracy;7.0; 2.86 ;4594234000;CHINA;0;0.92;IOC;2.1
Azerbaijan;2008;Europa y Asia Central ;3;Medium;34.67;96.99;5262.10;  Medium  ;UE;0.51;  Democracy  ;Autocracy;7.0; 3.29 ;3986807000;CHINA;0;0.92;IOC;1.9
Azerbaijan;2009;Europa y Asia Central ;3;Medium;23.27;61.76;5639.00;  Medium  ;UE;0.58;  Democracy  ;Autocracy;7.0; 3.33 ;2900030000;CHINA;0;0.92;IOC;2.3
Azerbaijan;2010;Europa y Asia Central ;3;Medium;29.00;79.04;5842.81;  Medium  ;UE;0.66;  Democracy  ;Autocracy;7.0; 2.79 ;3352997000;CHINA;0;0.92;IOC;2.4
Azerbaijan;2011;Europa y Asia Central ;3;Medium;32.67;104.01;5770.97;  Medium  ;UE;0.75;  Democracy  ;Autocracy;7.0; 4.67 ;4485120000;CHINA;0;0.92;IOC;2.4
Azerbaijan;2012;Europa y Asia Central ;3;Medium;28.43;105.01;5820.08;  Medium  ;UE;0.63;  Democracy  ;Autocracy;7.0; 4.66 ;5293250000;CHINA;0;0.92;IOC;2.7
Azerbaijan;2013;Europa y Asia Central ;3;Medium;23.56;104.08;6078.32;  Medium  ;UE;0.62;  Democracy  ;Autocracy;7.0; 4.54 ;2619437000;CHINA;0;0.92;IOC;2.8
Azerbaijan;2014;Europa y Asia Central ;3;Medium;19.43;96.24;6122.98;  Medium  ;UE;0.65;  Democracy  ;Autocracy;7.0; 4.56 ;4430466000;CHINA;0;0.92;IOC;2.9
Brunei Darussalam;2001;Asia y Pacifico;1;Low;18.22;24.35;36162.98;  High  ;THAILAND ;0.29;  Democracy  ;Autocracy;1.35; 3.89 ;60694644;CHINA;;0.65;NOC;
Brunei Darussalam;2002;Asia y Pacifico;2;Low;18.74;24.93;36832.27;  High  ;THAILAND ;0.34;  Democracy  ;Autocracy;1.35; 3.87 ;229671956;CHINA;;0.65;NOC;
Brunei Darussalam;2003;Asia y Pacifico;2;Low;19.88;28.90;37202.36;  High  ;THAILAND ;0.20;  Democracy  ;Autocracy;1.35; 3.71 ;123820911;CHINA;;0.65;NOC;
Brunei Darussalam;2004;Asia y Pacifico;1;Low;21.77;37.73;36752.05;  High  ;SOUTH KOREA;0.15;  Democracy  ;Autocracy;1.35; 2.53 ;113205867;CHINA;;0.65;NOC;
Brunei Darussalam;2005;Asia y Pacifico;1;Low;29.37;53.39;36325.12;  High  ;INDONESIA;0.32;  Democracy  ;Autocracy;1.35; 2.61 ;175068517;CHINA;;0.65;NOC;
Brunei Darussalam;2006;Asia y Pacifico;1;Low;28.88;64.29;37401.05;  High  ;INDONESIA;0.29;  Democracy  ;Autocracy;1.35; 2.56 ;87839128;CHINA;;0.65;NOC;
Brunei Darussalam;2007;Asia y Pacifico;1;Low;24.17;71.12;36997.81;  High  ;INDONESIA;0.37;  Democracy  ;Autocracy;1.1; 2.64 ;257635717;CHINA;;0.65;NOC;
Brunei Darussalam;2008;Asia y Pacifico;1;Low;28.37;96.99;35860.39;  High  ;INDONESIA;0.39;  Democracy  ;Autocracy;1.1; 2.51 ;222184549;CHINA;;0.65;NOC;
Brunei Darussalam;2009;Asia y Pacifico;1;Low;15.63;61.76;34812.71;  High  ;INDONESIA;0.21;  Democracy  ;Autocracy;1.1; 3.26 ;325586828;CHINA;;0.65;NOC;
Brunei Darussalam;2010;Asia y Pacifico;1;Low;19.84;79.04;35268.10;  High  ;SOUTH KOREA;0.22;  Democracy  ;Autocracy;1.1; 2.85 ;480722547;CHINA;;0.65;NOC;
Brunei Darussalam;2011;Asia y Pacifico;1;Low;21.34;104.01;36092.10;  High  ;SOUTH KOREA;0.22;  Democracy  ;Autocracy;1.1; 2.24 ;691170275;CHINA;;0.65;NOC;5.5
Brunei Darussalam;2012;Asia y Pacifico;1;Low;19.35;105.01;35899.04;  High  ;SOUTH KOREA;0.19;  Democracy  ;Autocracy;1.1; 2.16 ;864905528;CHINA;;0.65;NOC;5.5
Brunei Darussalam;2013;Asia y Pacifico;1;Low;15.17;104.08;34618.97;  High  ;SOUTH KOREA;0.17;  Democracy  ;Autocracy;1.1; 2.28 ;775641999;CHINA;;0.65;NOC;6.0
Brunei Darussalam;2014;Asia y Pacifico;1;Low;13.16;96.24;33313.83;  High  ;INDIA;0.21;  Democracy  ;Autocracy;1.1; 3.09 ;567889727;CHINA;;0.65;NOC;6.0
Chad;2001;Africa;4;High;;24.35;497.35;  Low  ;;;;Closed Anocracy;; 1.53 ;459866392;CHINA;0;0.30;IOC/ENOC;
Chad;2002;Africa;4;High;;24.93;519.28;  Low  ;USA;1.00;  Democracy  ;Closed Anocracy;; 1.73 ;924119210;CHINA;0;0.30;IOC/ENOC;1.6
Chad;2003;Africa;4;High;4.91;28.90;573.33;  Low  ;USA;1.00;  Democracy  ;Closed Anocracy;; 1.50 ;712663455;CH-RSS;0;0.30;IOC/ENOC;1.7
Chad;2004;Africa;4;High;33.63;37.73;737.99;  Low  ;USA;0.63;  Democracy  ;Closed Anocracy;; 1.14 ;466793492;CH-RSS;0;0.30;IOC/ENOC;1.7
Chad;2005;Africa;4;High;35.01;53.39;835.20;  Low  ;USA;0.75;  Democracy  ;Closed Anocracy;; 0.83 ;-99342519;CH-RSS;1;0.30;IOC/ENOC;1.7
Chad;2006;Africa;4;High;32.78;64.29;812.01;  Low  ;USA;0.85;  Democracy  ;Closed Anocracy;1.5; 3.00 ;-278414000;CHINA;1;0.30;IOC/ENOC;2.0
Chad;2007;Africa;4;High;29.92;71.12;811.02;  Low  ;USA;0.92;  Democracy  ;Closed Anocracy;1.5; 4.50 ;-321655000;CHINA;1;0.30;IOC/ENOC;1.8
Chad;2008;Africa;5;High;31.39;96.99;808.89;  Low  ;USA;0.92;  Democracy  ;Closed Anocracy;1.5; 5.91 ;466131000;CHINA;1;0.30;IOC/ENOC;1.6
Chad;2009;Africa;4;High;14.69;61.76;815.97;  Low  ;USA;0.92;  Democracy  ;Closed Anocracy;1.5; 7.99 ;374900000;CHINA;1;0.30;IOC/ENOC;1.6
Chad;2010;Africa;4;High;20.73;79.04;896.57;  Low  ;USA;0.74;  Democracy  ;Closed Anocracy;1.5; 5.78 ;313000000;CH-RSS;1;0.30;IOC/ENOC;1.7
Chad;2011;Africa;3;Medium;28.52;104.01;868.00;  Low  ;USA;0.87;  Democracy  ;Closed Anocracy;1.5; 5.02 ;281900000;CHINA;0;0.30;IOC/ENOC;2.0
Chad;2012;Africa;3;Medium;25.65;105.01;914.12;  Low  ;USA;0.91;  Democracy  ;Closed Anocracy;1.5;;579793037;CHINA;0;0.30;IOC/ENOC;1.9
Chad;2013;Africa;3;Medium;19.70;104.08;934.70;  Low  ;USA;0.85;  Democracy  ;Closed Anocracy;1.5; 5.61 ;520200793;CHINA;0;0.30;IOC/ENOC;1.9
Chad;2014;Africa;3;Medium;16.90;96.24;967.10;  Low  ;USA;0.81;  Democracy  ;Closed Anocracy;1.5; 2.82 ;-675545847;CHINA;0;0.30;IOC/ENOC;2.2
Congo;2001;Africa;3;Medium;44.86;24.35;2387.85;  Low  ;SOUTH KOREA;0.31;  Democracy  ;;0.187; 1.95 ;-135361238;CHINA;1;0.48;IOC;
Congo;2002;Africa;4;High;38.98;24.93;2430.29;  Low  ;SOUTH KOREA;0.35;  Democracy  ;;0.187; 2.34 ;199155451;CHINA;1;0.48;IOC;2.3
Congo;2003;Africa;4;High;33.96;28.90;2383.36;  Low  ;CHINA;0.45;  Autocracy  ;Open Anocracy;0.187; 2.68 ;219545649;CHINA;1;0.48;IOC;2.2
Congo;2004;Africa;2;Low;41.28;37.73;2395.82;  Low  ;CHINA;0.52;  Autocracy  ;Open Anocracy;0.187; 2.67 ;88399286;CHINA;1;0.48;IOC;2.3
Congo;2005;Africa;3;Medium;52.58;53.39;2503.31;  Low  ;CHINA;0.45;  Autocracy  ;Open Anocracy;0.187; 1.66 ;800996242;CHINA;1;0.48;IOC;2.3
Congo;2006;Africa;3;Medium;55.54;64.29;2573.51;  Low  ;CHINA;0.34;  Autocracy  ;Open Anocracy;0.187; 1.64 ;1487693084;CHINA;1;0.48;IOC;2.0
Congo;2007;Africa;3;Medium;47.69;71.12;2447.51;  Low  ;USA;0.36;  Democracy  ;Open Anocracy;0.18; 2.00 ;1422370639;CHINA;1;0.48;IOC;2.1
Congo;2008;Africa;3;Medium;50.44;96.99;2496.50;  Low  ;USA;0.43;  Democracy  ;Open Anocracy;0.18; 1.75 ;1940120151;CHINA;1;0.48;IOC;1.9
Congo;2009;Africa;2;Low;32.35;61.76;2595.75;  Low  ;USA;0.39;  Democracy  ;Open Anocracy;0.18;;1184284701;CHINA;1;0.48;IOC;1.9
Congo;2010;Africa;2;Low;46.35;79.04;2737.34;  Low  ;USA;0.33;  Democracy  ;Open Anocracy;0.18; 1.82 ;1520744891;CHINA;1;0.48;IOC;2.0
Congo;2011;Africa;2;Low;57.40;104.01;2751.91;  Low  ;CHINA;0.46;  Autocracy  ;Open Anocracy;0.18;;298288001;CHINA;1;0.48;IOC;2.2
Congo;2012;Africa;3;Medium;54.52;105.01;2782.11;  Low  ;CHINA;0.42;  Autocracy  ;Open Anocracy;0.18;;-69253909;CHINA;1;0.48;IOC;2.6
Congo;2013;Africa;3;Medium;42.17;104.08;2806.35;  Low  ;CHINA;0.59;  Autocracy  ;Open Anocracy;0.18; 2.61 ;1878325499;CHINA;1;0.48;IOC;2.2
Congo;2014;Africa;3;Medium;36.20;96.24;2922.97;  Low  ;CHINA;0.63;  Autocracy  ;Open Anocracy;0.18; 4.97 ;2887258955;CHINA;1;0.48;IOC;2.3
Ecuador;2001;Americas;3;Medium;7.70;24.35;3759.89;  Low  ;USA;0.48;  Democracy  ;Democracy;2115.0; 1.57 ;538568575;CHINA;0;0.71;NOC;2.3
Ecuador;2002;Americas;3;Medium;6.91;24.93;3848.27;  Low  ;USA;0.52;  Democracy  ;Democracy;2115.0; 1.77 ;783261010;CHINA;0;0.71;NOC;2.2
Ecuador;2003;Americas;3;Medium;7.87;28.90;3888.34;  Low  ;USA;0.52;  Democracy  ;Democracy;46296.0; 2.28 ;871513414;CHINA;0;0.71;NOC;2.2
Ecuador;2004;Americas;3;Medium;11.87;37.73;4139.08;  Medium  ;USA;0.53;  Democracy  ;Democracy;46296.0; 1.94 ;836939594;CHINA;0;0.71;NOC;2.4
Ecuador;2005;Americas;3;Medium;16.27;53.39;4286.52;  Medium  ;USA;0.68;  Democracy  ;Democracy;46296.0; 2.30 ;493413836;CHINA;0;0.71;NOC;2.5
Ecuador;2006;Americas;3;Medium;17.07;64.29;4400.86;  Medium  ;USA;0.75;  Democracy  ;Democracy;46296.0; 2.03 ;271428853;CHINA;0;0.71;NOC;2.3
Ecuador;2007;Americas;3;Medium;15.20;71.12;4421.90;  Medium  ;USA;0.60;  Democracy  ;Open Anocracy;4517.0; 2.57 ;193872527;CHINA;0;0.71;NOC;2.1
Ecuador;2008;Americas;3;Medium;17.11;96.99;4624.20;  Medium  ;USA;0.62;  Democracy  ;Open Anocracy;4517.0; 2.67 ;1057157020;CHINA;0;0.71;NOC;2.0
Ecuador;2009;Americas;3;Medium;7.67;61.76;4573.25;  Medium  ;USA;0.46;  Democracy  ;Open Anocracy;4.66; 3.12 ;308606890;CHINA;0;0.71;NOC;2.2
Ecuador;2010;Americas;2;Low;10.24;79.04;4657.30;  Medium  ;USA;0.50;  Democracy  ;Open Anocracy;6.5; 3.01 ;165858320;CHINA;0;0.71;NOC;2.5
Ecuador;2011;Americas;3;Medium;14.84;104.01;4943.42;  Medium  ;USA;0.60;  Democracy  ;Open Anocracy;6.51; 3.10 ;644077359;CHINA;0;0.71;NOC;2.7
Ecuador;2012;Americas;3;Medium;12.94;105.01;5140.26;  Medium  ;USA;0.60;  Democracy  ;Open Anocracy;7.21; 2.95 ;567492301;CHINA;0;0.71;NOC;3.2
Ecuador;2013;Americas;2;Low;11.68;104.08;5311.21;  Medium  ;USA;0.60;  Democracy  ;Open Anocracy;8.24; 2.88 ;727045206;CHINA;0;0.71;NOC;3.5
Ecuador;2014;Americas;2;Low;10.18;96.24;5428.71;  Medium  ;USA;0.55;  Democracy  ;Open Anocracy;8.24; 2.74 ;772275946;CHINA;0;0.71;NOC;3.3
Egypt, Arab Rep.;2001;E. Arabes;3;Medium;4.71;24.35;1982.11;  Low  ;UE; 0.65 ;  Democracy  ;Autocracy;294756.0; 3.14 ;509900000;CHINA;0;0.99;NOC/IOC;3.6
Egypt, Arab Rep.;2002;E. Arabes;3;Medium;5.36;24.93;1990.99;  Low  ;UE; 0.75 ;  Democracy  ;Autocracy;294756.0; 3.45 ;646900000;CHINA;0;0.99;NOC/IOC;3.4
Egypt, Arab Rep.;2003;E. Arabes;3;Medium;6.97;28.90;2015.90;  Low  ;UE; 0.69 ;  Democracy  ;Autocracy;3.7; 3.34 ;237400000;CHINA;0;0.99;NOC/IOC;3.3
Egypt, Arab Rep.;2004;E. Arabes;3;Medium;9.21;37.73;2059.38;  Low  ;UE; 0.66 ;  Democracy  ;Autocracy;3.7; 3.03 ;1253300000;CHINA;0;0.99;NOC/IOC;3.2
Egypt, Arab Rep.;2005;E. Arabes;4;High;11.73;53.39;2112.49;  Low  ;UE; 0.62 ;  Democracy  ;Closed Anocracy;3.7; 2.85 ;5375600000;CHINA;0;0.99;NOC/IOC;3.4
Egypt, Arab Rep.;2006;E. Arabes;4;High;11.64;64.29;2217.39;  Low  ;UE; 0.71 ;  Democracy  ;Closed Anocracy;3.7; 2.74 ;10042800000;CHINA;0;0.99;NOC/IOC;3.3
Egypt, Arab Rep.;2007;E. Arabes;3;Medium;10.58;71.12;2333.47;  Low  ;UE; 0.58 ;  Democracy  ;Closed Anocracy;3.7; 2.50 ;11578100000;CHINA;0;0.99;NOC/IOC;2.9
Egypt, Arab Rep.;2008;E. Arabes;3;Medium;12.15;96.99;2456.73;  Low  ;UE; 0.63 ;  Democracy  ;Closed Anocracy;3.7; 2.29 ;9494600000;CHINA;0;0.99;NOC/IOC;2.8
Egypt, Arab Rep.;2009;E. Arabes;3;Medium;5.93;61.76;2524.43;  Low  ;UE; 0.55 ;  Democracy  ;Closed Anocracy;3.7; 2.14 ;6711600000;CHINA;0;0.99;NOC/IOC;2.8
Egypt, Arab Rep.;2010;E. Arabes;4;High;7.26;79.04;2602.48;  Low  ;UE; 0.58 ;  Democracy  ;Closed Anocracy;3.7; 2.05 ;6385600000;CHINA;0;0.99;NOC/IOC;3.1
Egypt, Arab Rep.;2011;E. Arabes;4;High;9.62;104.01;2593.60;  Low  ;UE; 0.56 ;  Democracy  ;Closed Anocracy;4.4; 1.93 ;-482700000;CHINA;1;0.99;NOC/IOC;2.9
Egypt, Arab Rep.;2012;E. Arabes;3;Medium;8.27;105.01;2593.23;  Low  ;UE; 0.47 ;  Democracy  ;Closed Anocracy;4.4; 1.65 ;2797700000;CHINA;0;0.99;NOC/IOC;3.2
Egypt, Arab Rep.;2013;E. Arabes;4;High;7.04;104.08;2591.06;  Low  ;UE; 0.57 ;  Democracy  ;Closed Anocracy;4.4; 1.61 ;4192200000;CHINA;1;0.99;NOC/IOC;3.2
Egypt, Arab Rep.;2014;E. Arabes;4;High;5.87;96.24;2608.38;  Low  ;UE; 0.66 ;  Democracy  ;Closed Anocracy;4.4; 1.69 ;4783200000;CHINA;1;0.99;NOC/IOC;3.7
Equatorial Guinea;2001;Africa;3;Medium;;24.35;8603.96;  Medium  ;UE;0.40;  Democracy  ;Autocracy;0.012;;940741216;CHINA;0;0.85;IOC;
Equatorial Guinea;2002;Africa;3;Medium;;24.93;9867.56;  Medium  ;UE;0.37;  Democracy  ;Autocracy;0.012;;323391507;CHINA;0;0.85;IOC;
Equatorial Guinea;2003;Africa;3;Medium;;28.90;10788.03;  High  ;UE;0.44;  Democracy  ;Autocracy;0.012;;689779766;RUSSIA;0;0.85;IOC;1.8
Equatorial Guinea;2004;Africa;3;Medium;;37.73;14266.93;  High  ;USA;0.34;  Democracy  ;Autocracy;0.012;;340914469;CHINA;0;0.85;IOC;1.9
Equatorial Guinea;2005;Africa;3;Medium;58.44;53.39;15941.65;  High  ;USA;0.26;  Democracy  ;Autocracy;0.012;;769146185;CH-RSS;0;0.85;IOC;1.9
Equatorial Guinea;2006;Africa;3;Medium;53.84;64.29;16413.54;  High  ;CHINA;0.35;  Autocracy  ;Autocracy;0.012;;469506015;CHINA;0;0.85;IOC;2.1
Equatorial Guinea;2007;Africa;2;Low;48.50;71.12;18075.18;  High  ;UE;0.40;  Democracy  ;Autocracy;1.1; 1.50 ;1242731087;CHINA;0;0.85;IOC;1.9
Equatorial Guinea;2008;Africa;3;Medium;44.80;96.99;20333.94;  High  ;UE;0.49;  Democracy  ;Autocracy;1.1; 1.48 ;-793872333;CHINA;0;0.85;IOC;1.7
Equatorial Guinea;2009;Africa;3;Medium;23.60;61.76;19684.70;  High  ;USA;0.39;  Democracy  ;Autocracy;1.1; 2.47 ;1636219625;CHINA;0;0.85;IOC;1.8
Equatorial Guinea;2010;Africa;4;High;30.46;79.04;17136.45;  High  ;UE;0.43;  Democracy  ;Autocracy;1.1;;2734000000;CH-RSS;0;0.85;IOC;1.9
Equatorial Guinea;2011;Africa;3;Medium;33.52;104.01;17461.55;  High  ;UE;0.59;  Democracy  ;Autocracy;1.1;;1975000000;CHINA;0;0.85;IOC;1.9
Equatorial Guinea;2012;Africa;3;Medium;33.87;105.01;18106.34;  High  ;UE;0.59;  Democracy  ;Autocracy;1.1;;985256412;RUSSIA;0;0.85;IOC;2.0
Equatorial Guinea;2013;Africa;3;Medium;30.57;104.08;16634.77;  High  ;UE;0.55;  Democracy  ;Autocracy;1.1;;582948749;RUSSIA;0;0.85;IOC;1.9
Equatorial Guinea;2014;Africa;3;Medium;26.93;96.24;16028.25;  High  ;UE;0.46;  Democracy  ;Autocracy;1.1; 0.77 ;167875166;CHINA;0;0.85;IOC;1.9
Gabon;2001;Africa;2;Low;27.74;24.35;10098.60;  High  ;USA;0.69;  Democracy  ;Closed Anocracy;2499.0; 1.79 ;-100615451;CHINA;0;0.42;IOC;
Gabon;2002;Africa;2;Low;24.89;24.93;9823.25;  Medium  ;USA;0.68;  Democracy  ;Closed Anocracy;2499.0; 1.78 ;1160708;CHINA;0;0.42;IOC;
Gabon;2003;Africa;2;Low;24.05;28.90;9788.88;  Medium  ;USA;0.75;  Democracy  ;Closed Anocracy;2499.0; 1.67 ;99666154;CHINA;0;0.42;IOC;3.3
Gabon;2004;Africa;2;Low;31.05;37.73;9595.85;  Medium  ;USA;0.78;  Democracy  ;Closed Anocracy;2499.0; 1.61 ;313970792;CHINA;0;0.42;IOC;3.4
Gabon;2005;Africa;3;Medium;38.27;53.39;9579.36;  Medium  ;USA;0.72;  Democracy  ;Closed Anocracy;2499.0; 1.23 ;326161878;CHINA;0;0.42;IOC;2.9
Gabon;2006;Africa;3;Medium;37.79;64.29;9041.67;  Medium  ;USA;0.43;  Democracy  ;Closed Anocracy;2499.0; 1.26 ;267805316;CHINA;0;0.42;IOC;3.0
Gabon;2007;Africa;3;Medium;35.81;71.12;9299.46;  Medium  ;USA;0.50;  Democracy  ;Closed Anocracy;2.0;;269324270;CHINA;0;0.42;IOC;3.3 
Gabon;2008;Africa;3;Medium;39.34;96.99;8715.46;  Medium  ;USA;0.42;  Democracy  ;Closed Anocracy;2.0;;773000000;CHINA;0;0.42;IOC;3.1
Gabon;2009;Africa;3;Medium;23.05;61.76;8449.94;  Medium  ;USA;0.37;  Democracy  ;Open Anocracy;2.0;;573000000;CHINA;0;0.42;IOC;2.9
Gabon;2010;Africa;2;Low;31.42;79.04;8754.11;  Medium  ;USA;0.41;  Democracy  ;Open Anocracy;2.0; 1.87 ;499000000;CHINA;0;0.42;IOC;2.8
Gabon;2011;Africa;2;Low;39.12;104.01;9060.66;  Medium  ;USA;0.58;  Democracy  ;Open Anocracy;2.0; 1.46 ;696000000;CHINA;0;0.42;IOC;3.0
Gabon;2012;Africa;2;Low;41.02;105.01;9212.29;  Medium  ;JAPAN;0.34;  Democracy  ;Open Anocracy;2.0; 1.62 ;832473111;CHINA;0;0.42;IOC;3.5
Gabon;2013;Africa;2;Low;33.21;104.08;9408.01;  Medium  ;JAPAN;0.31;  Democracy  ;Open Anocracy;2.0; 1.60 ;771192616;CHINA;0;0.42;IOC;3.4
